location_country,date_year,stem_percent_female_graduates
Slovakia,2002,33.54919815
Slovakia,2003,34.40552139
Slovakia,2004,35.27550125
Slovakia,2005,35.3116684
Slovakia,2006,34.77021027
Slovakia,2007,35.41646957
Slovakia,2008,36.84833908
Slovakia,2009,35.05598831
Slovakia,2010,35.76660919
Slovakia,2011,35.05849838
Slovakia,2012,35.62855911
Slovakia,2013,36.20161819
Slovenia,1999,22.70314026
Slovenia,2001,24.21875
Slovenia,2002,24.57864952
Slovenia,2003,25.50077057
Slovenia,2004,24.99099922
Slovenia,2005,26.16500092
Slovenia,2006,25.71324921
Slovenia,2007,25.03525925
Slovenia,2008,26.50642014
Slovenia,2009,25.27030945
Slovenia,2010,27.98749924
Slovenia,2011,27.31675911
Slovenia,2012,29.47987938
South Africa,2012,40.45597839
South Africa,2013,41.10718918
South Korea,1998,30.96816063
South Korea,1999,30.32510948
South Korea,2000,31.77705956
South Korea,2001,31.89443016
South Korea,2002,33.17105865
South Korea,2003,31.31801987
South Korea,2004,29.06819916
South Korea,2005,29.01036072
South Korea,2006,27.40518951
South Korea,2007,26.06249046
South Korea,2008,26.00387001
South Korea,2009,27.54120064
South Korea,2011,27.02778053
South Korea,2012,27.41893959
South Korea,2015,27.77017975
Spain,1999,32.22359848
Spain,2000,31.5058403
Spain,2001,31.30450058
Spain,2002,30.83300018
Spain,2003,30.42557907
Spain,2004,30.28828049
Spain,2005,29.5792408
Spain,2006,29.97706985
Spain,2007,29.91288948
Spain,2008,30.17808914
Spain,2009,30.42028046
Spain,2010,30.29777908
Spain,2011,30.29384041
Spain,2012,30.88916016
Spain,2014,28.88769913
Sri Lanka,2010,38.67644119
Sri Lanka,2011,38.24935913
Sri Lanka,2012,40.90304947
Sri Lanka,2013,40.18748093
Sri Lanka,2014,40.55754089
Sudan,2012,42.41318893
Sudan,2013,37.92729187
Sweden,1999,28.64353943
Sweden,2000,32.08172989
Sweden,2001,33.49876022
Sweden,2002,34.60161972
Sweden,2003,34.20721054
Sweden,2004,33.84785843
Sweden,2005,33.75090027
Sweden,2006,34.39337158
Sweden,2007,33.1470108
Sweden,2008,33.42406082
Sweden,2009,32.60562134
Sweden,2010,34.11400986
Sweden,2011,32.72101974
Sweden,2012,32.29801178
Sweden,2013,32.15393066
Switzerland,1999,13.13770008
Switzerland,2000,14.19095993
Switzerland,2001,14.5802002
Switzerland,2002,15.36919022
Switzerland,2003,14.64381981
Switzerland,2004,16.12804985
Switzerland,2005,16.79704094
Switzerland,2006,18.26137924
Switzerland,2007,17.88409996
Switzerland,2008,19.36768913
Switzerland,2009,19.59296036
Switzerland,2010,19.48476982
Switzerland,2011,19.74596024
Switzerland,2013,20.58350945
Switzerland,2014,20.93556023
Syria,2013,42.30989075
Trinidad and Tobago,1999,42.5619812
Trinidad and Tobago,2000,38.84757996
Trinidad and Tobago,2001,43.27484894
Trinidad and Tobago,2002,42.34801102
Trinidad and Tobago,2004,37.82382965
Tunisia,2012,42.86687088
Tunisia,2013,54.9249115
Tunisia,2014,54.90243912
Turkey,1999,29.85001945
